Case Number,Date Reported,Crimes,Location,Synopsis
18-1498,10/1/2018,Petty Theft Bicycles,KERR HALL B591,Bicycle stolen between the hours of 1000 and 1400.
18-1499,10/1/2018,Petty Theft Bicycles,SANTA CATALINA B860,Theft of a registered bike.
18-1504,10/2/2018,Petty Theft Bicycles,SANTA CATALINA B860,Theft of an unregistered bike.
18-1505,10/2/2018,Petty Theft Bicycles,CAMPBELL HALL B538,Theft of a ____ bike.
18-1506,10/2/2018,Petty Theft Bicycles,GIRVETZ HALL B564,Stolen bike
18-1507,10/2/2018,Petty Theft Bicycles,SAN JOAQUIN,
18-1510,10/3/2018,Petty Theft Bicycles,STORKE FAMILY HOUSING (NEW MARRIED),"A UCSB student, reported his bicycle stolen"
18-1511,10/3/2018,Petty Theft Bicycles,STORKE FAMILY HOUSING (NEW MARRIED),
18-1514,10/3/2018,Petty Theft Bicycles,SAN JOAQUIN,RP reporting his bicycle stolen.
18-1518,10/4/2018,Petty Theft Bicycles,PHELPS RD,Officer flagged down by an RP reporting their bike stolen
18-1521,10/4/2018,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,
18-1522,10/5/2018,Petty Theft Bicycles,PORTOLA DINING COMMONS B1861  SAN CAT,RP reporting Stolen bike.
18-1524,10/5/2018,Petty Theft Bicycles,THEATER AND DANCE WEST B223,
18-1526,10/5/2018,Petty Theft Bicycles,TRIGO,
18-1547,10/8/2018,Petty Theft Bicycles,UNIVERSITY CENTER B558,RP reporting their bike stolen. last seen 10/07/18 around 1800
18-1548,10/8/2018,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,online report for a stolen bike
18-1559,10/10/2018,Petty Theft Bicycles,PHELPS HALL B560,RP reporting stolen bike.
18-1570,10/12/2018,Petty Theft Bicycles,SAN CLEMENTE,Rp reporting stolen bike.
18-1575,10/12/2018,Petty Theft Bicycles,DAVIDSON LIBRARY B525,Rp wanting to report stolen bike.
18-1580,10/13/2018,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP reporting that her bike was stolen early this morning.
18-1596,10/16/2018,Petty Theft Bicycles,HUMANITIES AND SOCIAL SCIENCES (HSSB) B515,Stolen bike report
18-1599,10/17/2018,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,Rp reporting stolen bike.
18-1600,10/17/2018,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,RP reporting three bike thefts.
18-1601,10/17/2018,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,
18-1602,10/17/2018,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,
18-1617,10/19/2018,Petty Theft Bicycles,DE LA GUERRA DINING COMMONS (DLG) B549 ISLAND CLUSTERS,RP reporting stolen bike.
18-1623,10/19/2018,Petty Theft Bicycles,PHELPS HALL B560,Online report for a stolen bicycle.
18-1631,10/22/2018,Petty Theft Bicycles,EDUCATION BUILDING (GGSE) B275,RP reporting their bicycle stolen
18-1681,10/29/2018,Petty Theft Bicycles,MALIBU COURT WEST B1874 SAN JOAQUIN,RP reporting stolen bike.
18-1701,11/1/2018,Petty Theft Bicycles,SAN MIGUEL RESIDENCE HALL B553,Theft of an unregistered bike during the past 24 hours.
18-1722,11/5/2018,Petty Theft Bicycles,EVENTS CENTER B505,Theft of a registered bike.
18-1725,11/6/2018,Petty Theft Bicycles,STORKE TOWER B589,Theft of an unregistered bike.
18-1732,11/7/2018,Petty Theft Bicycles,SANTA ROSA RESIDENCE HALL B527,Theft of a registered bike.
18-1742,11/8/2018,Petty Theft Bicycles,LAUREL WALK,RP reporting that his bicycle was stolen.
18-1747,11/9/2018,Petty Theft Bicycles,LAUREL WALK,RP reporting that her child's bike was stolen last night.
18-1749,11/9/2018,Petty Theft Bicycles,BROIDA HALL B572,RP reporting a stolen bike.
18-1750,11/9/2018,Petty Theft Bicycles,PHELPS HALL B560,
18-1765,11/11/2018,Petty Theft Bicycles,SAN MIGUEL RESIDENCE HALL B553,RP advising his unlocked bicycle was stolen last night.
18-1771,11/13/2018,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,
18-1775,11/14/2018,Petty Theft Bicycles,SANTA CATALINA B860,Theft of a bike.
18-1777,11/14/2018,Petty Theft Bicycles,HAVASU VILLAGE B1125 SMV,Theft of a bicycle seat.
18-1778,11/15/2018,Petty Theft Bicycles,BUS LOOP,Theft of an unregistered bike.
18-1782,11/15/2018,Petty Theft Bicycles,BROIDA HALL B572,RP reporting his registered bike stolen.
18-1799,11/17/2018,Grand Theft,SANTA CATALINA B860,RP reporting stolen bike sometime since 11-5-18.  CSO impound log is clear
18-1823,11/20/2018,Petty Theft Bicycles,MUSIC B531,Walk in RP to building 300 reporting their bicycle stolen
18-1826,11/20/2018,Petty Theft Bicycles,PORTOLA DINING COMMONS B1861  SAN CAT,Bicycle taken from 0400 today until time of call.  Un-registered bicycle.
18-1831,11/21/2018,Petty Theft Bicycles,PARKING LOT 38,Theft of an unregistered bike.
18-1832,11/21/2018,Petty Theft Bicycles,DONNER VILLAGE B846 SAN CLEM,Theft of an unregistered bike
18-1852,11/26/2018,Petty Theft Bicycles,STUDENT HEALTH B588,RP reporting their bike was stolen on 11-14-18.
18-1854,11/26/2018,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,Light blue Specialized
18-1862,11/27/2018,Petty Theft Bicycles,MADRONA WALK,RP reporting his bike stolen.
18-1863,11/27/2018,Petty Theft Bicycles,TROPICANA VILLAS,RP reporting her bike stolen via online report.
18-1880,11/30/2018,All Other,DEVEREUX BIKE STORAGE,
18-1905,12/6/2018,Grand Theft,GAYLEY WALK,RP reporting his bike stolen via online crime report
18-1911,12/7/2018,Petty Theft Bicycles,ELINGS HALL (CNSI) B266,Theft of an unregistered bike
18-1928,12/10/2018,Petty Theft Bicycles,EMBARCADERO HALL B941,Report of a bicycle stolen from Embarcadero Hall
18-1930,12/11/2018,Petty Theft Bicycles,,down bicycle
18-1935,12/12/2018,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,
18-1937,12/13/2018,Petty Theft Bicycles,ROBERTSON GYM B533,Theft of a registered bike.
18-1938,12/13/2018,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,Theft of a registered bike.
18-1963,12/18/2018,Petty Theft Bicycles,OAK WALK,RP reporting their bike stolen
19-0023,1/6/2019,Petty Theft Bicycles,UNIVERSITY CENTER B558,Theft of a registered bike that occurred over winter break.
19-0024,1/6/2019,Petty Theft Bicycles,SIERRA MADRE VILLAGE (STUDENTS),RP reporting his bicycle stolen via the online reporting system.
19-0025,1/7/2019,Petty Theft Bicycles,BUS LOOP,"RP reporting bike stolen.  Last seen 3 weeks ago. Blue/Teal, Unk brand with a basket. Not registered."
19-0030,1/7/2019,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,
19-0031,1/7/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP advised that his registered bicycle was stolen over the winter break.
19-0038,1/8/2019,Petty Theft Bicycles,SAN MIGUEL RESIDENCE HALL B553,
19-0043,1/9/2019,Petty Theft Bicycles,MUSIC B531,Theft of a registered bike approx. an hour ago.
19-0048,1/10/2019,Petty Theft Bicycles,SANTA CATALINA B860,Late report of a bike stolen last quarter.
19-0060,1/11/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting his unregistered bike stolen overnight
19-0065,1/11/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting his registered bike stolen from Santa Catalina over holiday break.
19-0075,1/12/2019,Petty Theft Bicycles,BIRCH WALK,UCSB Student reported bike was stolen from Storke Family Housing.
19-0106,1/18/2019,Petty Theft Bicycles,PORTOLA DINING COMMONS B1861  SAN CAT,RP reporting that his bicycle was stolen last night.
19-0110,1/18/2019,Petty Theft Bicycles,DE LA GUERRA DINING COMMONS (DLG) B549 ISLAND CLUSTERS,RP reporting his registered bicycle taken in the last 30 minutes.
19-0115,1/18/2019,Petty Theft Bicycles,EMBARCADERO HALL B941,RP advised her bicycle was stolen tonight between 2000-2130 hrs at Embarcadero Hall.
19-0135,1/22/2019,Petty Theft Bicycles,SAN RAFAEL CLUSTER B587,RP reporting his registered bike stolen approximately 1 week ago.
19-0137,1/22/2019,Petty Theft Bicycles,PORTOLA DINING COMMONS B1861  SAN CAT,RP reporting his bike stolen over the weekend
19-0173,1/28/2019,Petty Theft Bicycles,ARTS B534,RP advising that her bicycle was stolen about 1 hour ago.
19-0180,1/29/2019,Petty Theft Bicycles,ANACAPA RESIDENCE HALL B547,RP reporting stolen bike
19-0186,1/30/2019,Grand Theft,MUSIC B531,RP advising the theft of his unregistered bike.
19-0199,1/31/2019,Petty Theft Bicycles,PARKING LOT 08,Theft of a registered bike.
19-0222,2/4/2019,Petty Theft Bicycles,PORTOLA DINING COMMONS B1861  SAN CAT,Walk up stolen bike report at the FT Office.
19-0224,2/5/2019,Petty Theft Bicycles,MUSIC B531,Last seen last night at 1800.  Black fixie.  Not registered.  Not impounded per CSO log
19-0227,2/5/2019,Petty Theft Bicycles,ORTEGA DINING COMMONS B542,RP reporting her bike stolen within the last two hours.
19-0231,2/7/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP has been in the library since 5:00 pm and just came out to find that his bike is gone.
19-0235,2/7/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting her bike stolen from portolla bike racks
19-0248,2/9/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP advising the theft of his unregistered bike.
19-0258,2/11/2019,Petty Theft Bicycles,THEATER AND DANCE WEST B223,RP reporting the theft of her registered bike
19-0260,2/11/2019,Petty Theft Bicycles,HUMANITIES AND SOCIAL SCIENCES (HSSB) B515,RP reporting his bike stolen in the last hour.
19-0265,2/12/2019,Petty Theft Bicycles,SANTA ROSA RESIDENCE HALL B527,RP reporting the theft of her registered bike.
19-0290,2/19/2019,Petty Theft Bicycles,ZACA HOUSE B888 MANZANITA,RP reporting his registered bike stolen between 2000 hours last night and 0730 hours today.
19-0358,3/3/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting the theft of his unregistered bike that he last saw Friday at midnight
19-0368,3/5/2019,Petty Theft Bicycles,SOCIAL SCIENCES & MEDIA STUDIES (SSMS) B276,RP reporting his bike stolen
19-0374,3/6/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP reporting his bicycle stolen.
19-0377,3/7/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting the theft of his registered bike.
19-0384,3/8/2019,Petty Theft Bicycles,UNIVERSITY CENTER B558,RP beleives his bicycle was stolen. Last seen on Monday.
19-0389,3/8/2019,Petty Theft Bicycles,MUSIC B531,RP reporting the theft of his registered bike
19-0398,3/9/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP reporting the theft of his unregistered bike.
19-0401,3/10/2019,Petty Theft Bicycles,CARRILLO DINING COMMONS B562 MANZANITA,
19-0404,3/11/2019,Petty Theft Bicycles,SANTA ROSA RESIDENCE HALL B527,RP's bike stolen sometime over the weekend.
19-0407,3/11/2019,Petty Theft Bicycles,CONDOR HOUSE B883 MANZANITA,RP reporting his bike stolen.
19-0420,3/13/2019,Petty Theft Bicycles,SAN MIGUEL RESIDENCE HALL B553,RP reporting the theft of her registered bike.
19-0421,3/13/2019,Petty Theft Bicycles,SANTA CATALINA B860,RP reporting the theft of his registered bike.
19-0423,3/13/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP reporting the theft of her unregistered bike.
19-0461,3/20/2019,Petty Theft Bicycles,CAMPBELL HALL B538,
19-0512,4/1/2019,Petty Theft Bicycles,TROPICANA DEL NORTE,rp reporting his bike stolen last seen 03/22
19-0513,4/1/2019,Petty Theft Bicycles,SANTA CATALINA B860,
19-0516,4/1/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP advising that her registered bicycle was stolen 2 weeks ago.
19-0520,4/2/2019,Petty Theft Bicycles,BROIDA HALL B572,rp reporting online that his bike stolen from broida hall bike rake.
19-0524,4/2/2019,Petty Theft Bicycles,PHELPS HALL B560,RP reporting his bike stolen
19-0533,4/3/2019,Petty Theft Bicycles,CAMPBELL HALL B538,RP reporting that his unregistered bike has been stolen.
19-0546,4/5/2019,Petty Theft Bicycles,KROEBER WALK,RP advising someone entered his apartment and stole a bike.
19-0612,4/8/2019,Petty Theft Bicycles,ROBERTSON GYM B533,Rp advising that her bicycle was just stolen.
19-0614,4/8/2019,Petty Theft Bicycles,PHELPS HALL B560,RP advised that her bicycle was stolen today.
19-0615,4/8/2019,Petty Theft Bicycles,PARKING LOT 38,RP reporting his bike stolen.
19-0619,4/9/2019,Petty Theft Bicycles,SAN NICOLAS RESIDENCE HALL B561,RP reporting that his bike was stolen last night.
19-0622,4/9/2019,Petty Theft Bicycles,HARDER STADIUM B580,
19-0632,4/10/2019,Petty Theft Bicycles,SAN NICOLAS RESIDENCE HALL B561,Stolen bike report
19-0635,4/11/2019,Petty Theft Bicycles,ORTEGA DINING COMMONS B542,
19-0637,4/11/2019,All Other Petty Thefts,TENAYA NORTH TOWER B1864 SAN JOAQUIN,RP advising of the theft of bike parts.
19-0655,4/14/2019,Petty Theft Bicycles,BIRCH WALK,Online report for a bicycle that was stolen last week.
19-0662,4/15/2019,Petty Theft Bicycles,RAMONA COURT NORTH B1880 SAN JOAQUIN,RP advised that his registered bicycle was stolen on Friday.
19-0664,4/15/2019,Petty Theft Bicycles,ANACAPA RESIDENCE HALL B547,RP advised his bicycle was stolen over the weekend.
19-0668,4/16/2019,Petty Theft Bicycles,SIERRA MADRE VILLAGE (STUDENTS),RP reporting that her bike was stolen sometime in the last week.
19-0670,4/16/2019,Petty Theft Bicycles,CHEMISTRY B557,RP reporting his unregistered bike stolen between 1540 hours and 1800 hours.
19-0692,4/20/2019,Petty Theft Bicycles,BROIDA HALL B572,RP's bicycle was stolen. Last seen on Wednesday.
19-0697,4/21/2019,All Other Petty Thefts,HAVASU VILLAGE B1125 SMV,RP reporting that the motor and wheel and electronic was taken off of his electronic bike.
19-0733,4/27/2019,Petty Theft Bicycles,DE LA GUERRA DINING COMMONS (DLG) B549 ISLAND CLUSTERS,RP reporting the theft of his unregistered bike.
19-0743,4/29/2019,All Other Petty Thefts,STORKE FAMILY HOUSING (NEW MARRIED),Online report of stolen bike tires
19-0745,4/29/2019,Petty Theft Bicycles,CARRILLO DINING COMMONS B562 MANZANITA,Bicycle was stolen today.
19-0750,4/30/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP reporting his unregistered bike
19-0757,5/1/2019,Petty Theft Bicycles,SOUTH HALL B528,488 of registered bike; ls approx an hour ago in bike racks
19-0768,5/3/2019,Petty Theft Bicycles,SANTA ROSA RESIDENCE HALL B527,RP reporting the theft of her registered bike that occurred on 5/2/19.
19-0777,5/5/2019,Petty Theft Bicycles,SIERRA MADRE VILLAGE (STUDENTS),RP reporting that his bike was stolen.
19-0785,5/6/2019,Petty Theft Bicycles,EVENTS CENTER B505,RP reporting that his bicycle was stolen last Thursday.
19-0792,5/7/2019,Petty Theft Bicycles,BUS LOOP,RP reporting her bike stolen over the weekend
19-0801,5/8/2019,Petty Theft Bicycles,SAN JOAQUIN,RP reporting that her bike was stolen on Saturday night.
19-0803,5/8/2019,All Other Petty Thefts,ENCINO VILLAGE B845 SAN CLEM,RP reporting that the rear tire was taken from her bike.
19-0805,5/8/2019,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,
19-0807,5/8/2019,All Other Petty Thefts,SAN MIGUEL RESIDENCE HALL B553,"RP reporting multiple vandalisms to his bicycle over the last 10 days. Investigation revealed vandalism did not occur, however possible theft of tire part occurred."
19-0812,5/9/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP reporting the theft of his bike from the Davidson Library.
19-0835,5/13/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP's bicycle was stolen this afternoon.
19-0838,5/14/2019,Petty Theft Bicycles,DE LA GUERRA DINING COMMONS (DLG) B549 ISLAND CLUSTERS,RP reporting that her bicycle was stolen.
19-0839,5/14/2019,Petty Theft Bicycles,PARKING LOT 30,RP reporting her registered bike stolen between 1630 hours on 5/9 and 0930 hours today
19-0897,5/23/2019,Petty Theft Bicycles,MADRONA WALK,RP reporting her bike stolen from Storke Family Housing.
19-0899,5/23/2019,Petty Theft Bicycles,SOUTH HALL B528,"RP reporting he has located his registered, unreported stolen bike."
19-0921,5/28/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,RP reporting his registered bike stolen in the last 24 hours
19-0928,5/29/2019,Petty Theft Bicycles,SAN NICOLAS RESIDENCE HALL B561,RP reporting the theft of his bicycle.
19-0930,5/29/2019,Petty Theft Bicycles,SIERRA MADRE VILLAGE (STUDENTS),RP reporting the theft of her registered bike.
19-0931,5/29/2019,Petty Theft Bicycles,TENAYA NORTH TOWER B1864 SAN JOAQUIN,RP is out with his unreported stolen bike.
19-0932,5/29/2019,Petty Theft Bicycles,STORKE TOWER B589,RP reporting the theft of her unregistered bike.
19-0935,5/29/2019,Petty Theft Bicycles,SOUTH HALL B528,RP reporting her bike stolen
19-0941,5/30/2019,Petty Theft Bicycles,SAN RAFAEL TOWER B586,Bike theft from San Rafael bike racks.
19-0948,5/31/2019,Petty Theft Bicycles,UNIVERSITY CENTER B558,RP reporting her bike stolen.
19-0965,6/3/2019,Petty Theft Bicycles,DEVEREUX BIKE STORAGE,
19-0976,6/4/2019,Petty Theft Bicycles,ORTEGA DINING COMMONS B542,RP is reporting their bike stolen.
19-0998,6/10/2019,Petty Theft Bicycles,SAN RAFAEL TOWER B586,RP reporting that her registered bicycle was stolen.
19-1009,6/13/2019,Petty Theft Bicycles,SAN RAFAEL TOWER B586,RP reporting the theft of his registered bike last night.
19-1029,6/20/2019,Petty Theft Bicycles,SYCAMORE WALK,RP reporting the theft of his unregistered bike.
19-1037,6/22/2019,Petty Theft Bicycles,CAMPBELL HALL B538,RP advised his bicycle was stolen yesterday.
19-1040,6/24/2019,Petty Theft Bicycles,SAN RAFAEL TOWER B586,RP advising that his bicycle was stolen this morning.
19-1041,6/24/2019,Petty Theft Bicycles,STUDENT RESOURCE BUILDING (SRB) B221,RP's bicycle was stolen in the last week.
19-1042,6/24/2019,All Other Petty Thefts,PARKING  STRUCTURE 10  B252,RP advised that her bicycle seat was stolen and her brake lines were cut.
19-1048,6/26/2019,Grand Theft - Bicycle,SAN RAFAEL TOWER B586,RP reporting two bicycles stolen yesterday or last night.
19-1049,6/27/2019,Petty Theft Bicycles,TROPICANA GARDENS,RP reporting their bicycle stolen.
19-1051,6/28/2019,Petty Theft Bicycles,WEST CAMPUS FAMILY HOUSING (OLD MARRIED),RP reporting the theft of an unregistered bike.
19-1060,7/1/2019,Petty Theft Bicycles,PARKING LOT 04,RP advised that his bicycle was stolen within the last 2 weeks.
19-1073,7/5/2019,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,RP reporting the theft of his registered bike
19-1078,7/7/2019,Petty Theft Bicycles,SAN RAFAEL TOWER B586,RP reporting the theft of her unregistered bike.
19-1083,7/9/2019,Grand Theft - Bicycle,CAMPUS PROPERTY,RP reporting a stolen bike
19-1085,7/9/2019,Petty Theft Bicycles,TENAYA NORTH TOWER B1864 SAN JOAQUIN,RP reporting their bike stolen
19-1089,7/10/2019,Petty Theft Bicycles,ENGINEERING 2 B503,RP reporting his unregistered bike stolen in the last 8 hours.
19-1114,7/16/2019,Petty Theft Bicycles,BROIDA HALL B572,RP reporting her unregistered bicycle was stolen.
19-1120,7/18/2019,Petty Theft Bicycles,TROPICANA VILLAS,RP reporting that her bike was taken between Monday and today.
19-1122,7/19/2019,Petty Theft Bicycles,BREN HALL B521,RP reporting that his unregistered bike was stolen yesterday
19-1126,7/20/2019,Petty Theft Bicycles,PARKING LOT 38,bike theft in progress
19-1132,7/22/2019,Petty Theft Bicycles,SAN RAFAEL TOWER B586,RP reporting the theft of an unregistered bike
19-1134,7/22/2019,All Other,WEST CAMPUS FAMILY HOUSING (OLD MARRIED),RP reporting that the front wheel was stolen off of their bike
19-1137,7/23/2019,Petty Theft Bicycles,UNIVERSITY CENTER B558,RP reporting his bike stolen.
19-1141,7/24/2019,Petty Theft Bicycles,LAUREL WALK,RP reporting that his bicycle was stolen.
19-1154,7/28/2019,Grand Theft - Bicycle,SAN RAFAEL TOWER B586,RP reporting bikes stolen.
19-1165,7/31/2019,Petty Theft Bicycles,DAVIDSON LIBRARY B525,Online Report for a Stolen Bike
19-1185,8/6/2019,Petty Theft Bicycles,IV NEIGHBORHOOD CLINIC,"Male subject previosuly tampering with a bike in the racks and now loitering.  Male adult in 40's, long hair, hat, gry long sleeved shirt, blue jeans, associated with a blue bike"
19-1186,8/6/2019,Petty Theft Bicycles,STUDENT HEALTH B588,RP reporting her bike stolen.
19-1196,8/7/2019,Petty Theft Bicycles,THEATER AND DANCE EAST B554,RP reporting her bicycle stolen.
19-1198,8/7/2019,Petty Theft Bicycles,SAN NICOLAS RESIDENCE HALL B561,RP reporting their bike stolen.
19-1205,8/8/2019,Petty Theft Bicycles,SOCIAL SCIENCES & MEDIA STUDIES (SSMS) B276,RP reporting that they possibly found their stolen bike that they didn't report
19-1211,8/9/2019,Petty Theft Bicycles,SAN NICOLAS RESIDENCE HALL B561,RP reporting stolen bike
19-1226,8/10/2019,Petty Theft Bicycles,PARKING LOT 04,RP reporting the theft of his unregistered bike.
19-1245,8/12/2019,Petty Theft Bicycles,TROPICANA GARDENS,RP requesting to report his bike stolen.
19-1253,8/13/2019,Petty Theft Bicycles,CAMPBELL HALL B538,RP reporting her registered bike stolen.
19-1261,8/15/2019,Grand Theft - Bicycle,SAN RAFAEL TOWER B586,RP reporting that he had two bicycles taken last night.
19-1265,8/15/2019,Petty Theft Bicycles,ENGINEERING 2 B503,RP reporting the theft of his unregistered bike.
19-1284,8/19/2019,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,RP reporting that his unregistered bike was stolen
19-1299,8/20/2019,Petty Theft Bicycles,MARINE BIOTECHNOLOGY LAB B555,RP reporting his unregistered bike stolen
19-1310,8/22/2019,Petty Theft Bicycles,BREN HALL B521,RP reporting her bike stolen
19-1316,8/22/2019,Petty Theft Bicycles,ENGINEERING 2 B503,RP reporting his unregistered bike stolen in the last 48 hours
19-1321,8/23/2019,Petty Theft Bicycles,,RP would like to report his bike stolen.
19-1333,8/24/2019,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,RP reporting via the online system that his bicycle was stolen
19-1341,8/26/2019,Petty Theft Bicycles,SAN MIGUEL RESIDENCE HALL B553,RP reporting stolen bike.
19-1342,8/26/2019,Petty Theft Bicycles,SAN JOAQUIN,RP reporting his bicycle stolen.
19-1352,8/28/2019,Petty Theft Bicycles,SAN NICOLAS RESIDENCE HALL B561,RP reporting the theft of her bike that occurred on 8/19 went she left her bike in a rack unlocked and then went out of town.
19-1361,8/29/2019,Petty Theft Bicycles,SAN NICOLAS RESIDENCE HALL B561,RP reporting the theft of his unregistered bike.
19-1370,8/31/2019,Petty Theft Bicycles,SAN NICOLAS RESIDENCE HALL B561,RP reporting that her bicycle was stolen.
19-1382,9/4/2019,Petty Theft Bicycles,BROIDA HALL B572,RP reporting that his bicycle was taken sometime today.
19-1392,9/6/2019,Petty Theft Bicycles,PHELPS HALL B560,RP reporting that his bicycle was stolen this morning.
19-1404,9/10/2019,Petty Theft Bicycles,SAN JOAQUIN,RP reporting her bike stolen
19-1406,9/10/2019,Petty Theft Bicycles,ROBERTSON GYM B533,RP reporting his bicycle stolen.
19-1410,9/11/2019,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,RP reporting that his bicycle was stolen.
19-1411,9/11/2019,Petty Theft Bicycles,ELINGS HALL (CNSI) B266,RP requesting to report his bike stolen.
19-1412,9/11/2019,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,RP requesting to report his bike tire stolen.
19-1413,9/11/2019,Petty Theft Bicycles,SAN NICOLAS RESIDENCE HALL B561,RP reporting a bicycle stolen.
19-1417,9/12/2019,Petty Theft Bicycles,MIRANDA HOUSE B881 MANZANITA,RP reporting that his bicycle was stolen.
19-1422,9/13/2019,Petty Theft Bicycles,HUMANITIES AND SOCIAL SCIENCES (HSSB) B515,
19-1430,9/14/2019,Petty Theft Bicycles,DONNER VILLAGE B846 SAN CLEM,
19-1475,9/23/2019,Petty Theft Bicycles,EVENTS CENTER B505,RP reporting her bike stolen.
19-1477,9/23/2019,Petty Theft Bicycles,TROPICANA DEL NORTE,RP reporting her unregistered bike stolen
19-1483,9/25/2019,Petty Theft Bicycles,BUS LOOP,RP reporting his bike stolen.
19-1484,9/25/2019,Petty Theft Bicycles,ARROWHEAD VILLAGE B841 SAN CLEM,RP reporting his bike stolen.
19-1486,9/25/2019,Petty Theft Bicycles,EVENTS CENTER B505,RP reporting the theft of her unregistered bike.
19-1489,9/26/2019,All Other Petty Thefts,ARROWHEAD VILLAGE B841 SAN CLEM,Light holder stolen from RPs bike.
19-1491,9/26/2019,Petty Theft Bicycles,ENGINEERING 2 B503,RP reporting the theft of his unregistered bike.
